trackName,artistName,num_stream,avg_perc_streamed,num_stream_score,skip_cume_dist,score
Savage,aespa,16,83.21,85.55,78.38,82.38
"Hot Sauce",to1,25,81.52,87.04,78.32,82.29
"Sweet Chaos",day6,8,87.50,77.44,81.32,82.09
"Be Alright","ariana grande",8,87.32,77.44,81.32,82.03
"Tag Tag Tag",verivery,6,87.27,68.32,90.38,81.99
Moon,bts,8,87.05,77.44,81.32,81.94
"What I Said",victon,7,86.54,72.85,86.19,81.86
Spring,mcnd,65,78.31,94.72,72.44,81.82
"Over And Over Again - Elephante Original Remix","nathan sykes",7,86.39,72.85,86.19,81.81
"Deja Vu",ateez,45,81.60,89.01,74.14,81.58
Fearless,seventeen,67,76.79,95.25,72.5,81.51
"THE ANSWER",ab6ix,6,91.54,68.32,84.21,81.36
Dancefloor,"3rd prototype",19,79.80,86.77,77.48,81.35
"BUMP BUMP",woodz,59,78.98,92.16,72.1,81.08
"BYE BYE BYE",wei,49,79.61,89.71,73.8,81.04
"I can't run away",seventeen,19,79.08,86.19,77.48,80.92
"Crush on U",bae173,14,80.70,85.17,76.74,80.87
"VENI VIDI VICI",cravity,13,80.36,84.43,77.76,80.85
Anti-Romantic,"tomorrow x together",48,78.62,89.49,73.63,80.58
SOBER,bigbang,70,74.20,96.69,70.68,80.52
"Lovesick Girls",blackpink,5,92.34,59.73,89.47,80.51
"Goblin (Favorite Boys)",a.c.e,6,88.87,68.32,84.21,80.47
"Hey You",mcnd,3,100.00,41.23,100,80.41
"Beautiful (Feat. Gaho, Moti, Jung Jin Woo)",june,3,100.00,41.23,100,80.41
RPM,sf9,3,100.00,41.23,100,80.41
"Like Ooh-Ahh",twice,3,100.00,41.23,100,80.41
"Get It","pristin v",3,100.00,41.23,100,80.41
"Puzzle Moon",gwsn,3,100.00,41.23,100,80.41
"FEEDBACK 너의 대답은","ladies' code",2,100.00,41.23,100,80.41
Dingga,mamamoo,3,100.00,41.23,100,80.41
"Beautiful Goodbye",pentagon,3,100.00,41.23,100,80.41
"DAZZLE DAZZLE","weki meki",3,100.00,41.23,100,80.41
"I Love You",exid,3,100.00,41.23,100,80.41
"Beautiful Night","monsta x",3,100.00,41.23,100,80.41
"Just Do It",gray,3,100.00,41.23,100,80.41
"Um Oh Ah Yeh",mamamoo,3,100.00,41.23,100,80.41
Honestly,"eric nam",3,100.00,41.23,100,80.41
Clicker,j.don,3,100.00,41.23,100,80.41
"Rude - Zedd Remix",magic!,3,100.00,41.23,100,80.41
Light,up10tion,2,100.00,41.23,100,80.41
Grenade,ailee,3,100.00,41.23,100,80.41
"Again & Again",2pm,3,100.00,41.23,100,80.41
Sober,hyo,3,100.00,41.23,100,80.41
"Chi Mat Ba Ram","brave girls",3,100.00,41.23,100,80.41
"Heaven's Cloud",seventeen,40,78.90,88.37,73.97,80.41
"A Little Space (feat. YUNHO, SAN, JONGHO of ATEEZ)",pentatonix,3,100.00,41.23,100,80.41
"Sweet Travel",victon,3,100.00,41.23,100,80.41
Flare,lucy,7,82.16,72.85,86.19,80.4
Wave,seventeen,27,75.32,87.2,78.27,80.26
"Summer or Summer",hyolyn,31,78.91,87.52,74.02,80.15
"After We Ride","brave girls",41,79.31,88.37,72.61,80.1
SCIENTIST,twice,3,98.99,41.23,100,80.07
"ALL IN",dkb,41,77.67,88.53,73.46,79.89
"BAD DREAM",cix,10,80.93,81.87,76.74,79.85
Multiply,woodz,9,74.97,80.21,84.21,79.8
Yummy!,weeekly,60,74.75,92.64,70.63,79.34
GOLDEN,to1,20,78.28,86.35,73.17,79.27
"Like It Hot",gwsn,50,75.82,89.71,71.99,79.17
"The Chaser",infinite,4,98.40,50.88,88.17,79.15
ICY,itzy,7,85.73,72.85,78.72,79.1
"Hello Future","nct dream",39,76.61,88.11,72.44,79.05
ROAR,sf9,5,87.60,59.73,89.47,78.93
"Paint Me Naked",ten,40,75.17,88.16,72.33,78.55
"With You",to1,23,73.93,87.41,73.4,78.25
"Grand Prix",cravity,15,79.19,85.17,69.95,78.1
"Bad Boy","red velvet",19,75.84,86.19,72.04,78.02
"MIA (Feat. CAMO, WOODZ)",gemini,18,75.31,85.92,72.55,77.93
"Hide & Seek",astro,14,78.36,84.85,70.4,77.87
Paradise,"eric nam",5,84.37,59.73,89.47,77.86
astroboy.,suggi,6,80.87,68.32,84.21,77.8
BETTER,twice,8,80.08,80.21,72.33,77.54
"Left & Right",seventeen,18,74.64,85.92,71.93,77.5
"CRY FOR ME",twice,9,78.72,80.21,73.51,77.48
Believe,"paul blanco",4,84.49,59.73,88.17,77.46
"Alab (Burning)",sb19,6,79.70,68.32,84.21,77.41
"Still Learning",halsey,2,100.00,31.36,100,77.12
"Good Thing (with Kehlani)",zedd,2,100.00,31.36,100,77.12
"BLACK DRESS",clc,2,100.00,31.36,100,77.12
Mr-Ambiguous,mamamoo,2,100.00,31.36,100,77.12
"Ice Cream Cake","red velvet",2,100.00,31.36,100,77.12
"U GOT IT","got u",2,100.00,31.36,100,77.12
1000%,summerwish,2,100.00,31.36,100,77.12
"BLUE MOON (Prod. GroovyRoom)",hyolyn,2,100.00,31.36,100,77.12
Whiplash,"the boyz",2,100.00,31.36,100,77.12
"Stick Up Kids (Party Pupils Remix)","bad rabbits",2,100.00,31.36,100,77.12
"What a Wonderful Word",parkmoonchi,2,100.00,31.36,100,77.12
TOUCH,nct,2,100.00,31.36,100,77.12
WIN,ateez,2,100.00,31.36,100,77.12
"Dangerous Woman","ariana grande",2,100.00,31.36,100,77.12
"Love U Right",tritonal,2,100.00,31.36,100,77.12
"White Night","nct 127",2,100.00,31.36,100,77.12
L.I.E,exid,2,100.00,31.36,100,77.12
WHISTLE,blackpink,1,100.00,31.36,100,77.12
"Open Up",knock,2,100.00,31.36,100,77.12
Coin,iu,2,100.00,31.36,100,77.12
"Still Loving You",100%,2,100.00,31.36,100,77.12
Gee,"girls' generation",2,100.00,31.36,100,77.12
Violeta,iz*one,2,100.00,31.36,100,77.12
"LALALAY 날라리",sunmi,2,100.00,31.36,100,77.12
"Hard Times",paramore,2,100.00,31.36,100,77.12
CLOSE,ab6ix,2,100.00,31.36,100,77.12
ELEVEN,ive,2,100.00,31.36,100,77.12
G.B.T.B.,verivery,12,75.50,83.89,71.93,77.11
"젖어'S (Wet)",flowsik,4,92.17,50.88,88.17,77.07
"Get Me","justin bieber",4,91.85,50.88,88.17,76.97
"Blood Sweat & Tears",bts,6,78.11,68.32,84.21,76.88
34+35,"ariana grande",10,77.97,81.87,70.63,76.82
"Just do it",bss,5,90.29,59.73,80.19,76.74
Footprint,astro,34,71.89,87.79,70.46,76.71
libidO,onlyoneof,5,81.35,68.32,80.19,76.62
Luminous,"weki meki",19,72.67,86.19,70.74,76.53
"AH! LOVE",seventeen,8,75.19,77.44,76.74,76.46
"The Best Crew - Leeyou & Danceey Remix","tep no",2,97.92,31.36,100,76.43
"Get Outta My Way",verivery,6,84.10,68.32,76.74,76.39
"Break My Heart","dua lipa",14,73.86,84.85,70.4,76.37
"Dr. BeBe",pentagon,6,76.29,68.32,84.21,76.27
Filter,bts,12,75.05,83.89,69.78,76.24
Ah-Choo,lovelyz,6,83.45,68.32,76.74,76.17
Poppin’,baekhyun,6,83.42,68.32,76.74,76.16
"Cloud 9",cravity,6,83.42,68.32,76.74,76.16
"Dream of You (with R3HAB)","chung ha",6,83.37,68.32,76.74,76.14
"O Sole Mio",sf9,24,68.69,86.93,72.33,75.98
"Got me in chains","monsta x",15,72.76,85.17,69.95,75.96
"Count 1, 2",too,27,69.58,87.2,69.84,75.54
Fanfare,"golden child",37,70.67,87.95,67.63,75.42
Breath,got7,11,72.91,83.2,70.12,75.41
Ex,"stray kids",5,86.06,59.73,80.19,75.33
Boxer,"stray kids",11,72.54,83.2,70.12,75.29
"Better Not (with Wafia)","louis the child",6,80.76,68.32,76.74,75.27
"My Time",bts,12,68.65,83.89,73.23,75.26
"SOMEBODY LIKE",astro,10,73.12,81.87,70.63,75.21
"Mean It","manila killa",14,72.01,85.55,67.57,75.04
"Heart Attack (츄)",loona,8,75.08,80.21,69.78,75.02
"I Don't Wanna Leave - Innellea Remix","rüfüs du sol",20,68.74,86.51,69.78,75.01
Falling,"james lee",4,85.88,50.88,88.17,74.98
"LIFT UP",woodz,29,67.27,87.41,70.18,74.95
TRAUMA,seventeen,9,72.18,80.21,71.93,74.77
Drive,babylon,3,97.80,41.23,84.21,74.41
"Answer : Love Myself",bts,11,69.66,83.2,70.12,74.33
"Hi High",loona,4,83.91,50.88,88.17,74.32
Fanfare,sf9,10,73.47,81.87,67.52,74.29
"Where the sea sleeps","day6 (even of day)",5,82.90,59.73,80.19,74.27
Popping,onf,17,69.05,85.92,67.74,74.24
FANTASIA,"monsta x",8,72.84,77.44,72.33,74.2
Star,loona,3,97.14,41.23,84.21,74.19
"LOVE U","monsta x",70,74.12,96.91,51.1,74.04
"High On Life (feat. Bonn)","martin garrix",4,82.78,50.88,88.17,73.94
"Miss You","eric nam",7,75.60,72.85,73.34,73.93
"Forever By Your Side",awakend,4,82.74,50.88,88.17,73.93
Tomorrow,jordy,8,74.42,77.44,69.78,73.88
Drive,eden,1,100.00,21.49,100,73.83
"You&I (내가 하고싶은 말은)",니하고내하고,1,100.00,21.49,100,73.83
"Act of God - Robotaki Remix","tyler touché",1,100.00,21.49,100,73.83
"Mr. Chu",apink,1,100.00,21.49,100,73.83
"Love Options",bestie,1,100.00,21.49,100,73.83
ECLIPSE,got7,1,100.00,21.49,100,73.83
Dumhdurum,apink,1,100.00,21.49,100,73.83
"Boogie Up",wjsn,1,100.00,21.49,100,73.83
"Lip & Hip",hyuna,1,100.00,21.49,100,73.83
"Last Time",perk,1,100.00,21.49,100,73.83
"Safe With Me (feat. Audrey Mika) - Last Heroes Remix",gryffin,1,100.00,21.49,100,73.83
"drivers license","olivia rodrigo",1,100.00,21.49,100,73.83
"%%(Eung Eung)",apink,1,100.00,21.49,100,73.83
Snapping,"chung ha",1,100.00,21.49,100,73.83
"What You Doing",oneus,1,100.00,21.49,100,73.83
Stay,ateez,1,100.00,21.49,100,73.83
Rain,knk,1,100.00,21.49,100,73.83
"Cat (Feat. IU)",sunwoojunga,1,100.00,21.49,100,73.83
Ghost,baekhyun,1,100.00,21.49,100,73.83
Ridin',"nct dream",1,100.00,21.49,100,73.83
"BIM BAM BUM","rocket punch",1,100.00,21.49,100,73.83
DIFFERENT,woodz,1,100.00,21.49,100,73.83
Panini,"lil nas x",1,100.00,21.49,100,73.83
MOMMAE,"jay park",1,100.00,21.49,100,73.83
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","ariana grande",1,100.00,21.49,100,73.83
"motive (with Doja Cat)","ariana grande",1,100.00,21.49,100,73.83
"Easy Love",sf9,1,100.00,21.49,100,73.83
"Too Much",kehlani,1,100.00,21.49,100,73.83
"Loving U",sistar,1,100.00,21.49,100,73.83
TT,twice,1,100.00,21.49,100,73.83
"Flavors of love","monsta x",1,100.00,21.49,100,73.83
Mayday,victon,1,100.00,21.49,100,73.83
"Dive Into You","nct dream",1,100.00,21.49,100,73.83
Enemies,lauv,1,100.00,21.49,100,73.83
wait,"ilo ilo",1,100.00,21.49,100,73.83
"On The Ground",rosé,1,100.00,21.49,100,73.83
Adios,hoody,1,100.00,21.49,100,73.83
OXYGEN,twice,1,100.00,21.49,100,73.83
COMPASS,"golden child",1,100.00,21.49,100,73.83
"I LOVE YOU",treasure,1,100.00,21.49,100,73.83
"Free Pass",drippin,1,100.00,21.49,100,73.83
"내 다리를 봐",dalshabet,1,100.00,21.49,100,73.83
"WE GO",fromis_9,1,100.00,21.49,100,73.83
"Why Try","ariana grande",1,100.00,21.49,100,73.83
Door,"kwon eun bi",1,100.00,21.49,100,73.83
"Count On Me - Prod. GroovyRoom","jay b",1,100.00,21.49,100,73.83
"LONELY NIGHT",knk,1,100.00,21.49,100,73.83
bang,"after school",1,100.00,21.49,100,73.83
Crush,seventeen,1,100.00,21.49,100,73.83
"Imperfect love",seventeen,1,100.00,21.49,100,73.83
"One Day","monsta x",1,100.00,21.49,100,73.83
"G! Remix (feat. HYO)","lil cherry",1,100.00,21.49,100,73.83
"Just love","monsta x",1,100.00,21.49,100,73.83
Mercy,"monsta x",1,100.00,21.49,100,73.83
"One Right Now (with The Weeknd)","post malone",1,100.00,21.49,100,73.83
"Everything's gonna be alright",too,1,100.00,21.49,100,73.83
"You Can’t Hurry Love",too,1,100.00,21.49,100,73.83
"Hard Carry",too,1,100.00,21.49,100,73.83
"SUMMER JAM","strange fruits music",1,100.00,21.49,100,73.83
"Equal in the Darkness (Steve Aoki Character X Version)","steve aoki",1,100.00,21.49,100,73.83
"Better Days (NEIKED x Mae Muller) - Acoustic",neiked,1,100.00,21.49,100,73.83
"GET #MYWAY (With LOTTE Department Store)",gray,1,100.00,21.49,100,73.83
"Burning Up (Fire)",bts,1,100.00,21.49,100,73.83
"Hate that…",key,1,100.00,21.49,100,73.83
